Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Lagoa (Açores);0;0;0;1128,289938;83,059132;0;2067,13752;0;0;0;0;3278,48659
Lagoa (Algarve);0;0;0;2597,310154;156,39468;0;5891,65668;0;0;0;0;8645,361514
Lagos;0;0;94,106;5116,251516;506,25068;0;12033,64932;0;0;0;1,74;17751,99752
Lajes das Flores;0;0;0;417,048316;0,377;0;1308,65952;0;0;0;0;1726,084836
Lajes do Pico;0;0;0;143,930256;0;0;239,52768;0;0;0;0;383,457936
Lamego;0;0;54,617;2112,596654;331,930202;0;7580,527;0;0;5,663;0;10085,33386
Leiria;0;0;352,352;12070,5784;1688,45859;0;83623,96292;0;0;31,544;38,729;97805,62491
Lisboa;0;0;1551,066;145205,8638;7684,722302;0;401160,3596;445,14708;0;210,278;1,822;556259,2588
Loulé;0;0;157,032;12365,66243;840,448914;0;35645,31188;0;0;0;42,129;49050,58422
Loures;0;0;314,164;25019,20551;1103,949478;0;98280,367;275,16384;0;69,168;26,4;125088,4178
Lourinhã;0;0,94;178,634;1986,503258;298,83659;0;8457,50736;0;0;4,585;0;10927,00621
Lousã;0;0;59,385;790,499646;169,593736;0;4686,83532;0;0;0;0;5706,313702
Lousada;0;0;130,287;2580,674354;617,244758;0;11785,61916;0;0;0;87,48;15201,30527
Mação;0;0;0;641,98522;106,964702;0;10297,2534;0;0;0;0;11046,20332
Macedo de Cavaleiros;0;0;0;174,502828;94,8155;0;1973,5086;0;0;0;0;2242,826928
Machico;0;0;0;986,407452;279,495736;0;2510,56344;0;0;0;0;3776,466628
Madalena;0;0;0;0;0;0;192,98664;0;0;0;0;192,98664
Mafra;0;0;117,915;4946,925928;442,742952;0;27216,73376;0;0;10,499;4,349;32739,16564
Maia;0;26,248;19,569;13289,41409;675,684448;0;48345,82712;0;0;19,158;57,311;62433,21166
Mangualde;0;0;0,165;1844,819954;142,194598;0;8957,73628;0;0;43,996;0;10988,91183
Manteigas;0;0;19,48;164,503444;62,25778;0;537,84612;0;0;0;0;784,087344
Marco de Canavezes;0;0;18,419;3708,710652;1147,366122;0;13912,66884;0;0;3,264;0;18790,42861
Marinha Grande;0;0;122,225;2767,008742;249,320656;0;9465,71472;0;0;0;0,123;12604,39212
Marvão;0;0;0;23,14465;1,382836;0;0;0;0;0;0;24,527486
Matosinhos;16,31;5,5;564,49;39467,49629;3924,93227;0;175506,5187;0;0;50,558;656,595;220192,4002
Mealhada;0;0;55,744;1806,545678;259,727364;0;7932,79032;0;0;0;0;10054,80736
Meda;54,096;29,37;0;172,59829;60,292102;0;1935,06432;0;0;0;0;2251,420712
Melgaço;0;0;0;122,364142;80,698358;0;840,50568;0;0;0,724;0;1044,29218
Mértola;0;0;0;383,642436;44,871294;0;1926,93144;0;0;0;0;2355,44517
Mesão Frio;0;0;0;341,620256;50,630346;0;1368,93036;0;0;0;0;1761,180962
Mira;0;0;90,433;790,171406;148,363826;0;2541,51912;0;0;0;0;3570,487352
Miranda do Corvo;0;0;0;337,024896;64,421006;0;1658,64216;0;0;0;0;2060,088062
Miranda do Douro;0;0;0;287,869464;35,738846;0;2678,41476;0;0;0;0;3002,02307
Mirandela;0;0;30,775;1057,484094;456,855386;0;8184,5904;0;0;0;393,217;10122,92188
Mogadouro;0;0;0;311,586296;108,701918;0;2520,06132;0;0;0;0;2940,349534
Moimenta da Beira;0;0;0;818,447044;114,620818;0;3828,20256;0;0;0,183;0;4761,453422
Moita;0;0;256,505;3994,857602;151,557016;0;8834,7378;0;0;9,231;0,063;13246,95142
Monção;0;0;0;651,559384;57,453292;0;3616,93416;0;0;0;4,315;4330,261836
Monchique;0;0;0;536,462774;132,410694;0;1750,79016;0;0;0;0;2419,663628
Mondim de Basto;0;0;0;390,69885;64,378782;0;2339,00352;0;0;8,649;0;2802,730152
Monforte;0;0;0;143,057436;6,05462;0;585,58752;0;0;0;0;734,699576
Montalegre;0;0;0;397,019708;91,484328;0;2034,04068;0;0;0;0;2522,544716
Montemor-o-Novo;0;0;41,847;1741,004356;186,36241;0;11186,7882;747,10524;287,1141;0;0;14190,22131
Montemor-o-Velho;0;0;209,233;470,071758;96,571364;0;3230,2236;0;0;3,221;3,409;4012,729722
Montijo;0;0;142,472;7947,76091;460,934526;0;28982,58276;0;0;1,281;1,72;37536,7512
Mora;0;0;23,956;237,254856;55,182244;0;1235,0268;0;0;0;0;1551,4199
Mortágua;0;0;17,694;456,484114;121,892394;0;2541,24276;0;0;0;0;3137,313268
Moura;0;0;0;587,90022;40,81402;0;2475,67068;0;0;0;0;3104,38492
Mourão;0;0;0;133,14608;5,874414;0;683,75832;0;0;0;0;822,778814
Murça;0;0;0;462,793036;96,739708;0;2501,3478;0;0;0;0;3060,880544
Murtosa;0;0;0,11;537,607138;51,960402;0;920,0184;0;0;0;0;1509,69594
Nazaré;0;0;0;1208,100002;91,416468;0;2919,2646;0;0;0;0;4218,78107
Nelas;0;0;0;1157,954628;86,265894;0;4752,46296;0;0;0;0;5996,683482
Nisa;0;0;0;262,553954;21,207758;0;979,356;0;0;0;0;1263,117712
Nordeste;0;0;0;394,378868;17,193462;0;2078,42712;0;0;0;0;2489,99945
Óbidos;0;0;28,64;604,992572;77,900264;0;2570,92416;0;0;0;0;3282,456996
Odemira;0;0;0;2773,864482;221,582504;0;8266,45344;0;0;4,45;0;11266,35043
Odivelas;0;3,096;237,217;6250,951086;211,062494;0;19809,99048;0;0;20,352;4,4;26537,06906
Oeiras;0;0;571,158;21935,09231;1200,293134;0;58581,76388;0;0;1,195;4,4;82293,90233
Oleiros;0;0;0;293,781514;47,636212;0;3981,72264;0;0;0;0;4323,140366
Olhão;0;0;23,024;4749,959548;222,77684;0;10667,31876;0;0;0;0;15663,07915
Oliveira de Azeméis;0;0;0,33;4288,463806;549,819816;0;15308,31236;0;0;8,732;1,362;20157,01998
