Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 95 especial;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Petróleo iluminante   ;Petróleo carburante;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Biodiesel B20;Lubrificantes;Asfaltos;Total
Loulé;0;0;299,034;15098,27378;466,54256;317,05125;976,962;0;0;41033,468;3313,191681;0;0;2;0;0;0;6,937;0;61513,46027
Loures;0;0;319,697;28431,106;514,078708;284,02725;1445,58975;0;0;95045,73086;3781,50741;614,346282;0;0,36;0;0;0;92,248;0;130528,6913
Lourinhã;0;2,462;152,32;2428,155356;0;297,564;165,972;0;0;9428,079321;318,316122;0;0;0;0;0;0;2,562;0;12795,4308
Lousã;0;0;71,925;1431,435632;41,135512;284,62125;0;0;0;8717,38011;73,401552;560,949867;0;0;0;0;0;0;0;11180,84892
Lousada;0;0;182,089;2662,271128;79,000768;521,307;305,355;0;0;10308,79834;421,994475;0;0;2,64;0;0;0;0;0;14483,45571
Mação;0;0;0;519,051412;0;86,66775;0;0;0;4686,619959;30,526227;0;0;0;0;0;0;1,837;0;5324,702348
Macedo de Cavaleiros;0;0;0;272,033388;0;155,19375;0,5505;0;0;2235,374226;96,234075;0;0;0;0;0;0;0;0;2759,385939
Machico;0;0;0;1810,042564;0;668,07075;169,455;0;0;4756,511133;106,520805;0;0;0;0;0;0;0;0;7510,600252
Madalena;0;0;0;100,202828;0;0;0;0;0;400,073445;0;0;0;0;0;0;0;0;0;500,276273
Mafra;0;0;125,81;6902,524552;123,310792;176,00625;527,12175;0;0;37903,52575;1386,365787;0;0;16,78;0;0;0;15,506;0;47176,95088
Maia;0;29,87;4,557;10742,92934;61,745156;250,8645;514,85325;0;0;34764,49368;1439,607357;0;0;135,532;0;187,190914;0;25,035;0;48156,6782
Mangualde;0;0;0,275;2186,462344;0;100,92375;122,09925;0;0;8469,289125;262,380249;0;0;0;0;0;0;42,968;0;11184,39772
Manteigas;0;0;0;218,725672;0;111,1065;0;0;0;689,889717;29,772927;0;0;0;0;0;0;0;0;1049,494816
Marco de Canavezes;0;0;0,275;3758,7;0;1071,2355;448,48125;0;0;13192,09845;700,045038;8,37;0;0;0;0;0;2,552;0;19181,75724
Marinha Grande;0;0;106,641;3773,152108;45,352736;39,636;355,3065;0;0;11876,31855;833,949972;0;0;0;0;0;0;2,805;0;17033,16187
Matosinhos;0;0;656,804;58785,30055;862,75442;5914,0425;1015,02225;0,346944;0;203551,6965;4244,767659;423,475128;194,682852;247,202;0;0;0;75,155;0;275971,2498
Mealhada;0;0;133,337;1914,526944;6,344536;183,49275;142,79175;0;0;6885,315171;327,564972;0;0;0;0;0;0;0;0;9593,373123
Meda;64,173;31,295;0;168,780216;0;71,29275;0;0;0;1872,081909;32,612868;0;0;0;0;0;0;0;0;2240,235743
Melgaço;0;0;0;144,110428;0;109,731;0;0;0;1173,40704;0;0;0;0;0;0;0;1,269;0;1428,517468
Mértola;0;0;0;492,405408;0;11,24175;112,55625;0;0;2271,061395;132,453576;0;0;0;0;0;0;0;0;3019,718379
Mesão Frio;0;0;0;376,381632;0;0;69,41475;0;0;1398,644577;53,171262;0;0;0;0;0;0;0;0;1897,612221
Mira;0;0;177,744;941,828492;27,126968;199,58025;24,48975;0;0;2850,407685;90,572607;0;0;15,876;0;0;0;0;0;4327,625752
Miranda do Corvo;0;0;0;530,714228;0;63,67275;21,657;0;0;1866,551013;158,098419;35,877168;0;0;0;0;0;0;0;2676,570578
Miranda do Douro;0;0;0;305,92826;30,692684;63,75225;0;0;0;1978,44201;77,796639;0;0;0;0;0;0;0;0;2456,611843
Mirandela;0;0;2,5;1247,165084;0;535,4535;97,22475;0;0;7601,460741;296,413506;0;0;575,034;0;0;0;0;0;10355,25158
Mogadouro;0;0;0;285,251296;0;163,0005;9,573;0;0;2118,565854;85,045896;0;0;0;0;0;0;0;0;2661,436546
Moimenta da Beira;0;0;0;758,75624;0;25,128;106,9155;0;0;3492,595935;91,505025;0;0;0;0;0;0;2,724;0;4477,6247
Moita;0;0;0;4942,947064;24,140204;0;254,71875;0;0;9434,449728;433,961064;0;0;6;0;0;706,885448;13,357;0;15816,45926
Monção;0;0;0;431,743356;0;9,3675;48,507;0;0;1710,173466;81,991683;0;0;0;0;0;0;0;0;2281,783005
Monchique;0;0;0;618,040984;28,149484;144,5505;41,799;0;0;1941,670926;46,46187;0;0;0;0;0;0;0;0;2820,672764
Mondim de Basto;0;0;0;717,374636;0;117,7755;0;0;0;2582,828829;45,85923;0;109,009206;0;0;0;0;12,07;0;3584,917401
Monforte;0;0;0;146,887752;0;4,49475;6,9375;0;0;539,351082;9,534267;0;0;0;0;0;0;0;0;707,205351
Montalegre;0;0;0;494,588072;0;91,55625;36,0195;0;0;2211,513867;49,36626;0;0;6,181;0;0;0;0;0;2889,224949
Montemor-o-Novo;0;0;55,418;1940,9104;0,064328;106,31325;126,771;0,2496;5,589376;10744,40746;268,276914;2313,96183;540,942219;0,734;0;0;0;80,358;0;16183,99638
