geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-6.61376953125 38.63403439811461, -6.61376953125 38.63403439811461)",2020-04-13 0000,881832,Santa Marta,881832,Santa Marta,0,13,ES,LEVEL4,37,37.8,-0.8,-2.0618556701031,0,-0.16096872731711,38.646952621742,-6.6415754117242,38.646952621742,-6.6415754117242,0331103101203,0331103101203
"LINESTRING (-8.723144531249998 42.21224306625014, -8.723144531249998 42.21224306625014)",2020-04-13 0000,886397,Vigo,886397,Vigo,0,13,ES,LEVEL4,3271,3328.6,-57.6,-1.7299375300336,0,-1.8956190550485,42.203622988618,-8.7231764232884,42.203622988618,-8.7231764232884,0313322133021,0313322133021
"LINESTRING (-8.723144531249998 42.21224306625014, -8.72314453125 42.179686100257896)",2020-04-13 0000,886397,Vigo,886397,Vigo,3.6201751275387,13,ES,LEVEL4,18,16.8,1.2,6.7415730337079,0,0.19166296949998,42.203622988618,-8.7231764232884,42.203622988618,-8.7231764232884,0313322133021,0313322133023
"LINESTRING (-8.723144531249998 42.21224306625014, -8.76708984375 42.21224306625014)",2020-04-13 0000,886397,Vigo,886397,Vigo,3.6192427257365,13,ES,LEVEL4,30,50.6,-20.6,-39.922480620155,0,-0.54854399788929,42.203622988618,-8.7231764232884,42.203622988618,-8.7231764232884,0313322133021,0313322133020
"LINESTRING (-8.72314453125 37.107763044019435, -8.72314453125 37.107763044019435)",2020-04-13 0000,730499,Luz,730499,Luz,0,13,PT,LEVEL5,163,170.4,-7.4,-4.3173862310385,0,-1.4294347071796,37.097175913166,-8.745230835968,37.097175913166,-8.745230835968,0331102331003,0331102331003
"LINESTRING (-8.72314453125 37.14280141585178, -8.72314453125 37.14280141585178)",2020-04-13 0000,730498,Bensafrim,730498,Bensafrim,0,13,PT,LEVEL5,80,74.8,5.2,6.8601583113456,0,0.38471052673601,37.183545811474,-8.7280789810383,37.183545811474,-8.7280789810383,0331102331001,0331102331001
"LINESTRING (-8.72314453125 37.492291963954266, -8.72314453125 37.492291963954266)",2020-04-13 0000,729290,São Teotónio,729290,São Teotónio,0,13,PT,LEVEL5,93,89.2,3.8,4.2128603104213,0,0.31535541189691,37.485227161236,-8.6884511002999,37.485227161236,-8.6884511002999,0331102311221,0331102311221
"LINESTRING (-8.72314453125 37.52715158189666, -8.72314453125 37.52715158189666)",2020-04-13 0000,729290,São Teotónio,729290,São Teotónio,0,13,PT,LEVEL5,255,246.6,8.4,3.3925686591276,0,0.59802004790721,37.485227161236,-8.6884511002999,37.485227161236,-8.6884511002999,0331102311203,0331102311203
"LINESTRING (-8.72314453125 37.56199491714711, -8.72314453125 37.56199491714711)",2020-04-13 0000,729290,São Teotónio,729290,São Teotónio,0,13,PT,LEVEL5,25,25,0,0,0,0,37.485227161236,-8.6884511002999,37.485227161236,-8.6884511002999,0331102311201,0331102311201
"LINESTRING (-8.72314453125 37.666427174136224, -8.72314453125 37.666427174136224)",2020-04-13 0000,732911,Longueira Almograve,732911,Longueira Almograve,0,13,PT,LEVEL5,22,20,2,9.5238095238095,0,0.4,37.651784845346,-8.7568930896735,37.651784845346,-8.7568930896735,0331102311003,0331102311003
"LINESTRING (-6.61376953125 38.736944009216884, -6.61376953125 38.736944009216884)",2020-04-13 0000,881837,Solana de los Barros,881837,Solana de los Barros,0,13,ES,LEVEL4,48,39.2,8.8,21.890547263682,0,2.3775101986165,38.733432539798,-6.5664508902798,38.733432539798,-6.5664508902798,0331103101021,0331103101021
"LINESTRING (-8.72314453125 38.013474186775525, -8.72314453125 38.013474186775525)",2020-04-13 0000,731862,Santiago do Cacém,731862,Santiago do Cacém,0,13,PT,LEVEL5,61,66,-5,-7.4626865671642,0,-0.77151674981046,37.979678545026,-8.6949322264206,37.979678545026,-8.6949322264206,0331102131223,0331102131223
"LINESTRING (-8.72314453125 38.04808902257771, -8.72314453125 38.04808902257771)",2020-04-13 0000,731861,Santa Cruz,731861,Santa Cruz,0,13,PT,LEVEL5,14,20.4,-6.4,-29.906542056075,0,-1.496078663079,38.059581641881,-8.7062166164652,38.059581641881,-8.7062166164652,0331102131221,0331102131221
"LINESTRING (-8.72314453125 38.08268749934864, -8.72314453125 38.08268749934864)",2020-04-13 0000,731861,Santa Cruz,731861,Santa Cruz,0,13,PT,LEVEL5,21,18.2,2.8,14.583333333333,0,1.2915436912404,38.059581641881,-8.7062166164652,38.059581641881,-8.7062166164652,0331102131203,0331102131203
"LINESTRING (-8.72314453125 38.15183535630748, -8.72314453125 38.15183535630748)",2020-04-13 0000,731835,Melides,731835,Melides,0,13,PT,LEVEL5,33,35.8,-2.8,-7.6086956521739,0,-0.83666002653407,38.175061028632,-8.7217742007458,38.175061028632,-8.7217742007458,0331102131023,0331102131023
"LINESTRING (-8.72314453125 38.599698311641525, -8.72314453125 38.599698311641525)",2020-04-13 0000,731852,Marateca,731852,Marateca,0,13,PT,LEVEL5,18,17.6,0.4,2.1505376344086,0,0.16609095970748,38.58853726075,-8.7028900354785,38.58853726075,-8.7028900354785,0331102111221,0331102111221
"LINESTRING (-6.61376953125 38.87392648061604, -6.61376953125 38.87392648061604)",2020-04-13 0000,881814,Puebla de la Calzada,881814,Puebla de la Calzada,0,13,ES,LEVEL4,84,91.4,-7.4,-8.008658008658,0,-0.59962781189975,38.878622180816,-6.6284595124736,38.878622180816,-6.6284595124736,0331101323221,0331101323221
"LINESTRING (-8.72314453125 38.63403439811461, -8.72314453125 38.63403439811461)",2020-04-13 0000,731856,Poceirão,731856,Poceirão,0,13,PT,LEVEL5,72,66.2,5.8,8.6309523809524,0,0.7182972366962,38.66530937615,-8.7748599323648,38.66530937615,-8.7748599323648,0331102111203,0331102111203
"LINESTRING (-8.72314453125 38.668354046155734, -8.72314453125 38.668354046155734)",2020-04-13 0000,731856,Poceirão,731856,Poceirão,0,13,PT,LEVEL5,48,42.6,5.4,12.385321100917,0,1.0150806335358,38.66530937615,-8.7748599323648,38.66530937615,-8.7748599323648,0331102111201,0331102111201
"LINESTRING (-8.72314453125 38.87392648061604, -8.72314453125 38.87392648061604)",2020-04-13 0000,731689,Santo Estêvão,731689,Santo Estêvão,0,13,PT,LEVEL5,69,63.8,5.2,8.0246913580247,0,0.92357828332301,38.876287154885,-8.716513216964,38.876287154885,-8.716513216964,0331100333221,0331100333221
"LINESTRING (-8.72314453125 38.97649042533183, -8.72314453125 38.97649042533183)",2020-04-13 0000,731755,Foros de Salvaterra,731755,Foros de Salvaterra,0,13,PT,LEVEL5,67,57.2,9.8,16.838487972509,0,1.0909109684186,38.996444588625,-8.7246093061329,38.996444588625,-8.7246093061329,0331100333023,0331100333023
"LINESTRING (-8.72314453125 39.01064544921052, -8.72314453125 39.01064544921052)",2020-04-13 0000,731755,Foros de Salvaterra,731755,Foros de Salvaterra,0,13,PT,LEVEL5,100,93.8,6.2,6.5400843881857,0,0.88391222019391,38.996444588625,-8.7246093061329,38.996444588625,-8.7246093061329,0331100333021,0331100333021
"LINESTRING (-8.72314453125 39.04478398725156, -8.72314453125 39.04478398725156)",2020-04-13 0000,731752,Marinhais,731752,Marinhais,0,13,PT,LEVEL5,212,194.2,17.8,9.1188524590164,0,1.6956226337698,39.037111280465,-8.6972240328443,39.037111280465,-8.6972240328443,0331100333003,0331100333003
"LINESTRING (-8.72314453125 39.0789060352985, -8.72314453125 39.0789060352985)",2020-04-13 0000,731753,Muge,731753,Muge,0,13,PT,LEVEL5,23,23.4,-0.4,-1.6393442622951,0,-0.11405318970244,39.097198810367,-8.6908801674529,39.097198810367,-8.6908801674529,0331100333001,0331100333001
"LINESTRING (-8.72314453125 39.11301158922029, -8.72314453125 39.11301158922029)",2020-04-13 0000,731753,Muge,731753,Muge,0,13,PT,LEVEL5,74,75.2,-1.2,-1.5748031496063,0,-0.33672811995979,39.097198810367,-8.6908801674529,39.097198810367,-8.6908801674529,0331100331223,0331100331223
