geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-8.59130859375 41.19518774143979, -8.54736328125 41.19518774143979)",2020-04-14 1600,731464,Pedrouços,731422,Baguim do Monte,3.6769483477673,13,PT,LEVEL5,111,116.4,-5.4,-4.5996592844974,0,-0.10561267636809,41.189899544658,-8.5888515279529,41.192198058705,-8.5358890168331,0313322333102,0313322333103
"LINESTRING (-8.59130859375 41.19518774143979, -8.54736328125 41.228246926814975)",2020-04-14 1600,731464,Pedrouços,731612,Ermesinde,5.1986766324707,13,PT,LEVEL5,67,73.6,-6.6,-8.8471849865952,0,-0.18488773155471,41.189899544658,-8.5888515279529,41.216021043588,-8.5493190824051,0313322333102,0313322333101
"LINESTRING (-8.59130859375 41.19518774143979, -8.59130859375 41.09590996932491)",2020-04-14 1600,731464,Pedrouços,728824,Vilar de Andorinho,11.039201914989,13,PT,LEVEL5,19,16.2,2.8,16.279069767442,0,0.44721359549996,41.189899544658,-8.5888515279529,41.099937415939,-8.5741603299697,0313322333102,0313322333300
"LINESTRING (-8.59130859375 41.19518774143979, -8.59130859375 41.12901926009517)",2020-04-14 1600,731464,Pedrouços,728813,Oliveira do Douro,7.3576109778752,13,PT,LEVEL5,25,30.4,-5.4,-17.197452229299,0,-0.57960736750047,41.189899544658,-8.5888515279529,41.125480000231,-8.5852715180741,0313322333102,0313322333122
"LINESTRING (-8.59130859375 41.19518774143979, -8.59130859375 41.16211185167059)",2020-04-14 1600,731464,Pedrouços,728709,Bonfim,3.6778769094206,13,PT,LEVEL5,90,118.2,-28.2,-23.657718120805,0,-0.38872708480493,41.189899544658,-8.5888515279529,41.151718420514,-8.5961234159603,0313322333102,0313322333120
"LINESTRING (-8.59130859375 41.19518774143979, -8.59130859375 41.19518774143979)",2020-04-14 1600,731464,Pedrouços,731464,Pedrouços,0,13,PT,LEVEL5,3804,3560,244,6.8520078629598,0,0.47019248258847,41.189899544658,-8.5888515279529,41.189899544658,-8.5888515279529,0313322333102,0313322333102
"LINESTRING (-8.59130859375 41.19518774143979, -8.59130859375 41.228246926814975)",2020-04-14 1600,731464,Pedrouços,731457,Nogueira,3.676019462639,13,PT,LEVEL5,55,54.8,0.2,0.35842293906811,0,0.012999626266117,41.189899544658,-8.5888515279529,41.235009661598,-8.5859938225774,0313322333102,0313322333100
"LINESTRING (-6.70166015625 39.11301158922029, -6.70166015625 39.11301158922029)",2020-04-14 1600,881826,La Roca de la Sierra,881826,La Roca de la Sierra,0,13,ES,LEVEL4,75,74.4,0.59999999999999,0.79575596816975,0,0.045188205409278,39.091869739604,-6.6649163698645,39.091869739604,-6.6649163698645,0331101320333,0331101320333
"LINESTRING (-8.59130859375 41.19518774143979, -8.63525390625 41.12901926009517)",2020-04-14 1600,731464,Pedrouços,728805,Canidelo,8.2260591304821,13,PT,LEVEL5,25,29.8,-4.8,-15.584415584416,0,-0.48437920880505,41.189899544658,-8.5888515279529,41.128124084191,-8.6530780410415,0313322333102,0313322333033
"LINESTRING (-8.59130859375 41.19518774143979, -8.63525390625 41.16211185167059)",2020-04-14 1600,731464,Pedrouços,728718,Ramalde,5.2013034591091,13,PT,LEVEL5,66,84,-18,-21.176470588235,0,-0.4437348736621,41.189899544658,-8.5888515279529,41.171390651966,-8.6429326111044,0313322333102,0313322333031
"LINESTRING (-8.59130859375 41.19518774143979, -8.63525390625 41.19518774143979)",2020-04-14 1600,731464,Pedrouços,728795,Leça do Balio,3.6769483477673,13,PT,LEVEL5,70,86.6,-16.6,-18.949771689498,0,-0.35961412688506,41.189899544658,-8.5888515279529,41.212669419231,-8.6301942747858,0313322333102,0313322333013
"LINESTRING (-8.59130859375 41.19518774143979, -8.63525390625 41.228246926814975)",2020-04-14 1600,731464,Pedrouços,731454,Maia,5.1986766324707,13,PT,LEVEL5,30,38.6,-8.6,-21.717171717172,0,-0.84820708138891,41.189899544658,-8.5888515279529,41.233620236436,-8.6283231930852,0313322333102,0313322333011
"LINESTRING (-8.59130859375 41.19518774143979, -8.63525390625 41.26128940523195)",2020-04-14 1600,731464,Pedrouços,731451,Gemunde,8.2177523785262,13,PT,LEVEL5,11,16.2,-5.2,-30.232558139535,0,-0.923578283323,41.189899544658,-8.5888515279529,41.267673943118,-8.6366848105721,0313322333102,0313322331233
