Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Ílhavo;0;0;0;1752,01084;44,933122;5041,91436;0;0;481,358;0;7320,216322
Lagoa (Açores);0;0;0;1131,878198;69,577612;1635,12552;0;0;9,123;0;2845,70433
Lagoa (Algarve);0;0;22,628;4557,93318;248,08108;11322,99588;0;0;13,445;0;16165,08314
Lagos;0;0;67,582;3910,751324;311,061946;10096,83864;0;0;3,489;0;14389,72291
Lajes das Flores;0;0;0;422,050246;0;-9112,96092;0;0;6,113;0;-8684,797674
Lajes do Pico;0;0;0;1125,918404;30,138134;3205,01076;0;0;1,922;0;4362,989298
Lamego;0;0;41,892;1287,333408;200,389072;5563,42836;0;0;17,251;0;7110,29384
Leiria;0;0;695,507;11128,96004;1320,603856;88176,11376;0;0;1284,012;1353,642;103958,8387
Lisboa;0;0;1195,119;55255,67318;2572,400688;169331,7284;599,68944;0;1249,112;652,61;230856,3328
Loulé;0;0;154,751;9180,73852;628,86993;28011,921;0;0;73,439;6,181;38055,90045
Loures;0;0;368,486;19645,18563;862,38373;86159,12088;0;0;467,424;26,4;107529,0002
Lourinhã;0;0,998;165,325;2017,04226;245,425492;9212,9898;0;0;201,202;0;11842,98255
Lousã;0;0;73,726;1031,6061;163,216118;3576,4596;0;0;156,64;48,118;5049,765818
Lousada;0;0;115,495;2831,015542;532,477062;15378,78216;0;0;9,108;0;18866,87776
Mação;0;0;0;1050,266544;141,652472;11435,61636;0;0;38,933;0;12666,46838
Macedo de Cavaleiros;0;0;0;218,077434;82,179214;2368,6446;0;0;0,182;0;2669,083248
Machico;0;0;0;352,761766;28,425046;1467,98484;0;0;0;0;1849,171652
Madalena;0;0;0;485,395344;12,677756;2261,4438;0;0;11,604;0;2771,1209
Mafra;0;0;166,823;4555,856316;298,641304;25860,35004;0;0;179,182;0;31060,85266
Maia;0;10,597;11,913;14081,94882;597,535952;52552,02624;0;0;461,44;0,461;67715,92201
Mangualde;0;0;12,859;1733,259384;122,299554;8843,76024;0;0;50,958;0;10763,13618
Manteigas;0;0;0;146,997808;51,903098;462,9324;0;0;0,541;0;662,374306
Marco de Canavezes;0;0;19,897;3881,543186;970,97858;14210,09268;0;0;44,117;0;19126,62845
Marinha Grande;0;0;175,825;2391,23213;195,396084;7994,71008;0;0;24,965;0;10782,12829
Matosinhos;0;1,109;351,11;51171,4597;4610,029892;212180,2712;0;0;1344,288;946,029;270604,2968
Mealhada;0;0;56,472;1883,734298;208,107016;9393,27816;0;0;266,085;0;11807,67647
Meda;54,465;29,15;0;160,794332;46,452432;1115,4024;0;0;2,095;0;1408,359164
Melgaço;0;0;0;95,238836;58,801444;688,67652;0;0;0;0;842,7168
Mértola;0;0;0;353,010184;40,491308;1791,5268;0;0;24,061;0;2209,089292
Mesão Frio;0;0;0;288,096994;40,167842;1234,77648;0;0;0;0;1563,041316
Mira;0;0;0,099;516,096974;120,789292;2125,69812;0;0;2,979;0;2765,662386
Miranda do Corvo;0;0;0;484,54565;90,786124;2346,02088;0;0;3,161;88;3012,513654
Miranda do Douro;0;0;0;406,832592;27,946256;2553,86292;0;0;8,701;0;2997,342768
Mirandela;0;0;0;1258,54676;417,115062;8212,95384;0;0;14,304;0;9902,919662
Mogadouro;0;0;0;289,063064;65,206674;1942,36728;0;0;11,964;0;2308,601018
Moimenta da Beira;0;0;0;743,18385;118,976676;2819,83884;0;0;0,366;0;3682,365366
Moita;0;0;345,116;3184,295778;116,189138;8692,1646;0;0;23,971;0;12361,73652
Monção;0;0;0;829,663154;69,814368;7827,03852;0;0;3,889;0;8730,405042
