Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Grand Total
Miranda do Corvo;0;0;0;427,121554;82,27271;2773,07604;0;1,518;3283,988304
Miranda do Douro;0;0;0;449,309086;19,055088;1840,36776;0;7,522;2316,253934
Mirandela;0;0;0,055;1059,257336;432,808064;9193,03364;0;13,707;10698,86104
Mogadouro;0;0;0;211,911744;73,215662;2127,89556;0;9,508;2422,530966
Moimenta da Beira;0;0;0;676,386264;111,037056;2309,12976;0;0,118;3096,67108
Moita;0;0;188,351;3196,380232;112,91904;10064,05712;0;33,458;13595,16539
Monção;0;0;2,784;608,063108;20,358754;3433,35552;0;1,278;4065,839382
Monchique;0;0;2,643;209,203764;61,436674;988,4784;0;2,555;1264,316838
Mondim de Basto;0;0;0,22;119,004904;0;902,18856;0;0,906;1022,319464
Monforte;0;0;0;113,38081;0;473,64492;0;0;587,02573
Montalegre;0;0;0;337,890256;29,803358;1878,00396;27,72504;0,651;2274,073614
Montemor-o-Novo;0;0;29,399;3957,735896;166,576696;23782,62028;0;18,549;27954,88087
Montemor-o-Velho;0;0;123,827;878,782778;118,418716;5566,73964;0;14,935;6702,703134
Montijo;0;0;363,531;6079,670978;369,619848;30906,8172;0;25,907;37745,54603
Mora;0;0;28,59;327,719292;21,63226;1642,17648;0;0,162;2020,280032
Mortágua;0;0;0;273,126266;2,243904;2011,97304;0;0,045;2287,38821
Moura;0;0;0;577,615864;32,077422;2679,28416;0;2,098;3291,075446
Mourão;0;0;0;308,858174;0;1569,46188;0;0,17;1878,490054
Murça;0;0;0;377,010496;133,889288;2282,25564;0;1,884;2795,039424
Murtosa;0;0;0;867,45253;72,290504;4048,77564;0;10,64;4999,158674
Nazaré;0;0;0;1366,035662;107,815968;4149,8268;0;2,717;5626,39543
Nelas;0;0;41,78;1139,80594;60,56505;4463,91288;0;18,427;5724,49087
Nisa;0;0;0;239,997898;3,013738;980,6958;0,84;0;1224,547436
Nordeste;0;0;0;447,247142;0;971,5734;0;0,208;1419,028542
Óbidos;0;0;49,673;900,771128;98,118774;4270,77;0;4,498;5323,830902
Odemira;0;0;0;2589,747952;154,986962;9505,73064;43,68336;13,585;12307,73391
Odivelas;0;0;157,603;6752,612214;386,256858;27077,37232;0;287,429;34661,27339
Oeiras;0;0;337,294;21680,10877;1042,53318;62196,6294;0;640,784;85897,34935
Oleiros;0;0;0;239,304864;20,36177;2618,84616;0;410,03;3288,542794
Olhão;0;0;80,59;3795,083278;423,742722;9537,28788;0;22,368;13859,07188
Oliveira de Azeméis;0;0;180,739;2757,98065;450,632624;14286,59928;0;23,897;17699,84855
Oliveira de Frades;0;0;23,061;225,389726;40,84041;2379,50496;0;8,951;2677,747096
Oliveira do Bairro;0;0;115,106;2237,217446;323,340836;9527,50848;0;47,817;12250,98976
Oliveira do Hospital;0;0;44,627;1587,671516;397,483164;8380,16784;0;4,892;10414,84152
Ourique;0;0;0;334,136384;0;2225,73372;10,08;2,6;2572,550104
Ovar;0;0;454,958;3306,613668;366,717702;16185,79368;0;61,8;20375,88305
Paços de Ferreira;0;28,77;502,696;4246,051468;574,877498;22757,28604;0;770,241;28879,92201
Palmela;0;21,731;250,121;7103,582088;447,886556;31454,02164;50,39076;225,995;39553,72804
Pampilhosa da Serra;0;0;0;255,86681;51,80357;1313,95152;0;0;1621,6219
Paredes;0;0,951;75,795;3785,95373;462,379944;16648,1448;0;215,714;21188,93847
Paredes de Coura;0;0;0,495;424,555314;44,96479;1431,12144;0;1,978;1903,114544
Pedrogão Grande;0;0;0;187,396692;49,802454;1054,23108;0;3,683;1295,113226
Penacova;0;18,135;37,869;538,617968;54,671032;3093,96948;0;1,316;3744,57848
Penafiel;0;8,178;176,275;4098,00926;683,211464;22377,02384;0;48,978;27391,67556
Penalva do Castelo;0;0;0;489,515502;71,104462;2455,62744;0;0;3016,247404
Penamacor;0;0;0;103,60075;2,262;872,73144;0;0;978,59419
Penedono;0;0;0;189,281088;19,39288;905,22348;0;0;1113,897448
Penela;0;0;39,552;279,020412;42,077724;2727,6354;0;0,858;3089,143536
Peniche;0;0;79,358;1937,270242;155,63314;7057,9236;0;27,558;9257,742982
Peso da Régua;0;0;0;1345,659418;129,452752;6566,14052;1109,04864;3,464;9153,76533
Pinhel;0;0;0;176,237278;22,293518;2300,00652;0;7,242;2505,779316
Pombal;0;0;259,931;3608,65937;573,57157;47518,61484;0;486,718;52447,49478
Ponta Delgada;0;0;0;11623,29172;488,469098;25273,6008;0;264,94;37650,30162
Ponta do Sol;0;0;0;960,533934;340,869828;2640,27288;0;0;3941,676642
Ponte da Barca;0;0;0;513,484482;83,151874;1894,9644;0;0,052;2491,652756
