DISTRITO;MUNICÍPIO;CODIGO;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018p
COIMBRA;CONDEIXA-A-NOVA;0604;8 734;9 019;8 056;9 984;10 030;10 083;10 428;9 709;8 130;8 286;7 452;6 786;5 699;7 199;5 865;5 730;7 358;6 557
COIMBRA;FIGUEIRA DA FOZ;0605;138 514;138 024;157 396;156 678;156 465;160 126;165 014;163 978;442 911;533 198;725 933;458 229;517 699;279 477;546 940;520 520;782 386;517 547
COIMBRA;GÓIS;0606;;;;;;;;;;;;;;;;;;0
COIMBRA;LOUSÃ;0607;;;;;;;;52;372;440;4 444;4 161;3 938;4 082;3 719;3 959;4 293;4 200
COIMBRA;MIRA;0608;;;;;;;;;;;;184;471;441;496;473;494;536
COIMBRA;MIRANDA DO CORVO;0609;;;;;;;;;;;;;;;;;3;2
COIMBRA;MONTEMOR-O-VELHO;0610;11;56;102;112;157;360;1 798;1 440;2 682;2 425;2 288;3 022;3 799;3 638;3 738;3 820;3 921;4 115
COIMBRA;OLIVEIRA DO HOSPITAL;0611;;;;;;;;;;;;;;;;;;0
COIMBRA;PAMPILHOSA DA SERRA;0612;;;;;;;;;;;;;;;;;;0
COIMBRA;PENACOVA;0613;;;;;1 544;1 684;1 783;1 229;1 476;1 302;1 143;1 016;;631;382;;;0
COIMBRA;PENELA;0614;;;;;;;;;;;;;;;;;;
COIMBRA;SOURE;0615;;;;;;;7;34;58;105;226;425;517;631;648;520;688;736
COIMBRA;TÁBUA;0616;;;;;;;;;;;;;;;;;;0
COIMBRA;VILA NOVA DE POIARES;0617;;;;;;;;;;;;;;;;;;0
ÉVORA;ALANDROAL;0701;;;;;;;;;;;;;;;;;;0
ÉVORA;ARRAIOLOS;0702;;;;;;;;;;;;;;;;;;0
ÉVORA;BORBA;0703;;;;;;;;;;;;;;;;;;
ÉVORA;ESTREMOZ;0704;;;;;;;;;;;;;;;;;;0
ÉVORA;ÉVORA;0705;;389;2 073;2 787;3 288;3 608;3 795;3 858;3 008;3 629;3 820;3 583;4 289;4 132;4 357;4 312;4 239;5 048
ÉVORA;MONTEMOR-O-NOVO;0706;;;;;;;;;;;;;8;;1;8;7;7
ÉVORA;MORA;0707;;;;;;;;;;;;;2 437;4 388;3 093;2 450;4 106;3 143
ÉVORA;MOURÃO;0708;;;;;;;;;;;;;;;;;;0
ÉVORA;PORTEL;0709;;;;;;;;;;;;;;;;;;0
