Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Biodiesel;Grand Total
Rio Maior;0;0;91,618;1253,961098;183,7498;9727,68132;0;10,402;0;11267,41222
Sabrosa;0;0;0;144,937356;0;799,34988;0;0,77;0;945,057236
Sabugal;0;0;9,723;630,516216;71,004934;3193,32888;0;2,807;0;3907,38003
Salvaterra de Magos;0;0;60,45;1048,356784;84,865716;10605,04256;0;21,843;0;11820,55806
Santa Comba Dão;0;0;84,635;877,573512;55,428802;5250,96768;0;2,985;0;6271,589994
Santa Cruz;0;6,408;0;4361,110778;928,979272;8917,91208;0;12,971;0;14227,38113
Santa Cruz da Graciosa;0;0;0;484,2286;0;958,56348;0;0,164;0;1442,95608
Santa Cruz das Flores;0;0;0;3,79341;0;1,4952;0;0;0;5,28861
Santa Marta de Penaguião;0;0;0;214,761464;0;892,74612;0;0;0;1107,507584
Santana;0;0;0;836,554702;305,911372;3201,20472;0;0;0;4343,670794
Santarém;0;0;484,363;5442,86449;574,707848;39328,6782;0;129,133;8,8;45968,54654
Santiago do Cacém;0;0;1,111;2292,866808;273,714064;13719,70992;0;21,542;0;16308,94379
Santo Tirso;0;0;247,636;8164,005422;670,314456;30134,9724;0;49,728;0;39266,65628
São Brás de Alportel;0;0;0;659,659452;0;2209,45452;0;0,234;0;2869,347972
São João da Madeira;0;0;329,24;1793,371318;174,223764;9031,76232;0;27,244;0;11355,8414
São João da Pesqueira;0;0;0;186,355276;119,809092;1412,58264;0;0,475;0;1719,222008
São Pedro do Sul;0;0;0;777,176086;60,415758;2922,61788;0;65,306;0;3825,515724
São Roque do Pico;0;0;0;91,554342;0;206,89872;0;0,403;0;298,856062
São Vicente;0;0;0;656,56579;207,690808;2461,9686;0;0;0;3326,225198
Sardoal;0;0;0;292,564042;0;1197,14424;0;0,462;0;1490,170282
Sátão;0;0;3;484,25471;44,694104;2363,33076;0;0,091;0;2895,370574
Seia;0;0;72,233;1962,449234;198,252236;6742,64304;0;0,977;0;8976,55451
Seixal;0;0;800,099;11028,50443;481,037674;33495,24036;0;56,178;0;45861,05946
Sernancelhe;0;0;0;247,559354;43,66791;1231,5996;0;0,284;0;1523,110864
Serpa;0;0;0;444,016216;37,223472;2489,64996;0;0,402;0;2971,291648
Sertã;0;0;36,441;826,992474;84,291168;10139,5624;0;267,69;0;11354,97704
Sesimbra;0;0;0,11;4742,9561;189,029308;15036,26208;0;13,245;59,845;20041,44749
Setúbal;0;0,75;46,465;11111,85575;606,215246;53721,11744;886,71576;153,792;0;66526,9112
Sever do Vouga;0;0;17,893;629,853022;64,809316;3623,9154;0;8,773;0;4345,243738
Silves;0;0;112,169;4283,469336;292,660576;18081,37236;0;12,152;0;22781,82327
Sines;0;0;91,738;5264,866652;465,031008;27557,23152;0;42,082;0;33420,94918
Sintra;0;0;1235,042;28162,46458;1226,080154;95850,40208;0;241,218;0;126715,2068
Sobral de Monte Agraço;0;0;13,598;402,925044;94,623984;2537,82984;0;2,982;0;3051,958868
Soure;0;0;86,668;681,315832;115,658322;3231,87648;0;3,298;0;4118,816634
Sousel;0;0;0;184,173226;0;997,04136;0;0;0;1181,214586
Tábua;0;0;0;721,255926;54,670278;2917,69272;0;13,072;0;3706,690924
Tabuaço;0;0;0;37,952004;18,108818;302,88132;0;0;0;358,942142
Tarouca;0;0;0;546,491252;68,733886;2949,51048;0;0,479;0;3565,214618
Tavira;0;0;7,155;3082,47573;117,173862;8827,7554;0;4,011;0;12038,57099
Terras do Bouro;0;0;0;452,42289;13,47398;1354,42272;0;0,505;0;1820,82459
Tomar;0;0;126,593;2510,16318;280,930598;10610,03916;0;16,076;0;13543,80194
Tondela;0;0;31,865;2274,041498;345,375732;9237,28848;0;40,425;0;11928,99571
Torre de Moncorvo;0;0;7,244;385,553688;58,244238;2739,09888;0;49,832;0;3239,972806
Torres Novas;0;0;163,831;2396,653312;173,01661;19219,15044;0;18,085;0;21970,73636
Torres Vedras;0;0;913,994;5870,350838;592,148622;44001,62304;0;106,868;0;51484,9845
Trancoso;0;0;0;314,115236;169,449436;2586,82872;0;0,086;0;3070,479392
Trofa;0;0;168,549;4280,784482;259,154324;21705,51576;0;531,344;0;26945,34757
Vagos;0;0;0,88;1670,843056;268,62381;8257,85436;0;234,281;0;10432,48223
Vale de Cambra;0;0;123,803;2295,771732;444,451332;6828,08868;0;5,718;0;9697,832744
Valença;0;0,5;22,351;379,048568;18,286762;2614,3026;0;0;0;3034,48893
Valongo;0;0;521,503;9112,884598;426,35307;40130,26784;0;149,083;0;50340,09151
Valpaços;0;0;0;457,865706;42,68017;2978,6736;0;9,405;0;3488,624476
Velas;0;0;0;708,194958;0;2234,85612;0;3,622;0;2946,673078
Vendas Novas;0;0;9,974;1059,13723;80,762448;6442,40772;0;3,545;90,954;7686,780398
Viana do Alentejo;0;0;0;42,360864;0,126672;464,17532;0;798,008;0;1304,670856
Viana do Castelo;0;0;94,469;6042,353074;264,454944;23065,57568;753,24144;90,671;36,657;30347,42214
Vidigueira;0;0;0;320,10487;145,356874;1152,1986;0;2,282;0;1619,942344
Vieira do Minho;0;0;0;715,312544;92,023438;2626,16424;0;0;0;3433,500222
Vila de Rei;0;0;0;213,729746;0;879,78996;0;0;0;1093,519706
Vila do Bispo;0;0;0;429,429678;24,563812;938,29008;0;0,156;0;1392,43957
Vila do Conde;0;0;79,32;4332,99926;256,028994;22622,59944;0;124,937;1,26;27417,14469
Vila do Porto;0;0;0;902,551084;0;1045,66476;0;1,628;0;1949,843844
Vila flor;0;0;0;186,614138;83,774678;1781,1854;0;1,598;0;2053,172216
Vila Franca de Xira;0;3,176;678,369;9128,096284;204,704214;50416,98248;0;150,963;0;60582,29098
Vila Franca do Campo;0;0;0;694,027672;0;893,66508;0;4,868;0;1592,560752
Vila Nova da Barquinha;0;0;0;227,723214;1,506492;810,03216;0;65,101;0;1104,362866
Vila Nova de Cerveira;0;0;0,22;233,980662;17,979884;881,98908;0;0,293;0;1134,462626
Vila Nova de Famalicão;0;0;668,641;9900,782196;753,478232;41613,3594;0;145,572;0;53081,83283
Vila Nova de Foz Côa;0;0;0;201,307354;40,793662;1423,7958;0;1,268;0;1667,164816
Vila Nova de Gaia;0;0;1437,594;29593,20157;1446,325062;128269,3525;0;1950,862;0;162697,3351
Vila Nova de Ourém;0;0;84,804;6702,605596;1014,264212;65807,96796;0;123,029;0;73732,67077
Vila Nova de Paiva;0;0;0;398,935436;23,412454;1867,86768;0;233,795;0;2524,01057
Vila Nova de Poiares;0;0;0;486,64937;97,787014;4146,28284;0;88,838;0;4819,557224
Vila Pouca de Aguiar;0;0;0,22;687,092856;87,615554;4620,70224;0;0;0;5395,63065
Vila Praia da Vitória;0;0;0;4777,691352;120,78326;11386,26636;0;20,157;0;16304,89797
Vila Real;0;0;209,136;4207,877902;621,517676;24918,10524;0;209,196;0;30165,83282
Vila Real de Santo António;0;0;83,107;859,741128;75,792834;4826,70888;0;5,979;0;5851,328842
Vila Velha de Rodão;0;0;23,872;432,147356;21,746868;3533,00192;0;6,299;0;4017,067144
Vila Verde;0;0;73,527;3658,096044;676,863538;18451,6542;0;0,021;0;22860,16178
Vila Viçosa;0;0;0;200,999256;40,522976;955,61256;0;0;0;1197,134792
Vimioso;0;0;0;23,775766;22,123114;198,42564;0;0;0;244,32452
Vinhais;0;0;30,954;217,56717;51,095564;996,8952;0;0;0;1296,511934
Viseu;0;0;517,776;8373,87984;600,15007;43375,65948;0;692,968;0;53560,43339
Vizela;0;0;57,767;1202,784006;106,635204;5356,3482;0;5,091;0;6728,62541
Vouzela;0;0;57,859;439,9162;81,155282;2252,9212;0;3,613;0;2835,464682
Grand Total;1397,213;1248,502;34317,312;951836,5319;80416,69468;4253342,934;9688,06104;31532,052;2349,83;5366129,13
